code,description,age_l,age_h,sex
M05.35,Rheum arthr inv oth org & sys pelv thigh,215,324,
M05.36,Rheum arthr inv oth organs & sys low leg,215,324,
M05.37,Rheum arthr inv oth org & sys ankle foot,215,324,
M05.38,Rheum arthr inv oth organ & system other,215,324,
M05.39,Rheum arthr inv oth org & sys site unsp,215,324,
M05.80,Oth seropos rheum arthritis mult sites,215,324,
M05.81,Oth seropos rheum arthritis shoulder,215,324,
M05.82,Oth seropos rheum arthritis upper arm,215,324,
M05.83,Oth seropos rheum arthritis forearm,215,324,
M05.84,Other seropositive rheum arthritis hand,215,324,
M05.85,Oth seropos rheum arthr pelv rgn & thgh,215,324,
M05.86,Oth seropos rheum arthritis lower leg,215,324,
M05.87,Oth seropos rheum arthritis ankle foot,215,324,
M05.88,Oth seropositive rheum arthritis other,215,324,
M05.89,Oth seropos rheum arthritis site unsp,215,324,
M05.90,Seropositive rheum arthr unsp mult sites,215,324,
M05.91,Seropositive rheum arthr unsp shoulder,215,324,
M05.92,Seropositive rheum arthr unsp upper arm,215,324,
M05.93,Seropositive rheum arthr unsp forearm,215,324,
M05.94,Seropositive rheum arthritis unsp hand,215,324,
M05.95,Seropositive rheum arthr unsp pelv thigh,215,324,
M05.96,Seropositive rheum arthr unsp low leg,215,324,
M05.97,Seropositive rheum arthr unsp ankle foot,215,324,
M05.98,Seropositive rheum arthritis unsp other,215,324,
M05.99,Seropositive rheum arthr unsp unsp site,215,324,
M06.00,Seronegative rheum arthritis mult sites,215,324,
M06.01,Seronegative rheum arthritis shoulder,215,324,
M06.02,Seronegative rheum arthritis upper arm,215,324,
M06.03,Seronegative rheum arthritis forearm,215,324,
M06.04,Seronegative rheumatoid arthritis hand,215,324,
M06.05,Seronegative rheum arthr pelv rgn & thgh,215,324,
M06.06,Seronegative rheum arthritis low leg,215,324,
M06.07,Seronegative rheum arthritis ankle foot,215,324,
M06.08,Seronegative rheumatoid arthritis other,215,324,
M06.09,Seronegative rheum arthritis site unsp,215,324,
M06.10,Adult-onset Still's disease mult sites,215,324,
M06.11,Adult-onset Still's disease shoulder,215,324,
M06.12,Adult-onset Still's disease upper arm,215,324,
M06.13,Adult-onset Still's disease arm,215,324,
M06.14,Adult-onset Still's disease hand,215,324,
M06.15,Adult-onset Still's dis pelv rgn & thgh,215,324,
M06.16,Adult-onset Still's disease lower leg,215,324,
M06.17,Adult-onset Still's disease ankle & foot,215,324,
M06.18,Adult-onset Still's disease other,215,324,
M06.19,Adult-onset Still's disease site unsp,215,324,
M06.80,Oth spec rheumatoid arthritis mult sites,215,324,
M06.81,Oth spec rheumatoid arthritis shoulder,215,324,
M06.82,Oth spec rheumatoid arthritis upper arm,215,324,
M06.83,Oth spec rheumatoid arthritis forearm,215,324,
M06.84,Oth spec rheumatoid arthritis hand,215,324,
M06.85,Oth spec rheumatoid arthritis pelv thigh,215,324,
M06.86,Oth spec rheumatoid arthritis lower leg,215,324,
M06.87,Oth spec rheumatoid arthritis ankle foot,215,324,
M06.88,Oth spec rheumatoid arthritis other,215,324,
M06.89,Oth spec rheumatoid arthritis site unsp,215,324,
M06.90,Rheumatoid arthritis unsp multiple sites,215,324,
M06.91,Rheumatoid arthritis unsp shoulder,215,324,
M06.92,Rheumatoid arthritis unsp upper arm,215,324,
M06.93,Rheumatoid arthritis unsp forearm,215,324,
M06.94,Rheumatoid arthritis unsp hand,215,324,
M06.95,Rheumatoid arthr unsp pelv rgn & thgh,215,324,
M06.96,Rheumatoid arthritis unsp lower leg,215,324,
M06.97,Rheumatoid arthritis unsp ankle foot,215,324,
M06.98,Rheumatoid arthritis unsp other,215,324,
M06.99,Rheumatoid arthritis unsp unsp site,215,324,
M07.00,Distal IPJ psoriatic arthropathy mult,215,324,
M07.04,Distal IPJ psoriatic arthropathy hand,215,324,
M07.07,Distal IPJ psoriatic arthropathy foot,215,324,
M07.09,Distal IPJ psoriatic arthrpthy sit unsp,215,324,
M07.10,Arthritis mutilans mult sites (L40.5+),215,324,
M07.11,Arthritis mutilans shoulder (L40.5+),215,324,
M07.12,Arthritis mutilans upper arm (L40.5+),215,324,
M07.13,Arthritis mutilans forearm (L40.5+),215,324,
M07.14,Arthritis mutilans hand (L40.5+),215,324,
M07.15,Arthr mutilans pelv rgn & thgh (L40.5+),215,324,
M07.16,Arthritis mutilans lower leg (L40.5+),215,324,
M07.17,Arthritis mutilans ankle foot (L40.5+),215,324,
M07.18,Arthritis mutilans other (L40.5+),215,324,
M07.19,Arthritis mutilans site unsp (L40.5+),215,324,
M07.2,Psoriatic spondylitis (L40.5+),215,324,
M07.30,Oth psor arthropathy mult sites (L40.5+),215,324,
M07.31,Oth psor arthropathy shoulder (L40.5+),215,324,
M07.32,Oth psor arthropathy upper arm (L40.5+),215,324,
M07.33,Oth psor arthropathy forearm (L40.5+),215,324,
M07.34,Oth psor arthropathy hand (L40.5+),215,324,
M07.35,Oth psor arthropathy pelv thigh (L40.5+),215,324,
M07.36,Oth psor arthropathy lower leg (L40.5+),215,324,
M07.37,Oth psor arthropathy ankle foot (L40.5+),215,324,
M07.38,Oth psor arthropathy other (L40.5+),215,324,
M07.39,Oth psor arthropathy site unsp (L40.5+),215,324,
M07.40,Arthrpthy in Crohn's dis mult site,215,324,
M07.41,Arthrpthy in Crohn's dis shoulder K50.-+,215,324,
M07.42,Arthrpthy in Crohn's dis upp arm K50.-+,215,324,
M07.43,Arthrpthy in Crohn's dis forearm,215,324,
M07.44,Arthrpthy in Crohn's dis hand (K50.-+),215,324,
M07.45,Arthrpthy in Crohn's dis pelvis (K50.-+),215,324,
M07.46,Arthrpthy in Crohn's dis low leg,215,324,
M07.47,Arthrpthy in Crohn's dis ankle (K50.-+),215,324,
M07.48,Arthrpthy in Crohn's dis other (K50.-+),215,324,
M07.49,Arthrpthy in Crohn's dis site unsp,215,324,
M07.50,Arthrpthy in ulcrtve colitis mult site,215,324,
M07.51,Arthrpthy in ulcrtve colitis shoulder,215,324,
M07.52,Arthrpthy in ulcrtve colitis upper arm,215,324,
M07.53,Arthrpthy in ulcrtve colitis forearm,215,324,
M07.54,Arthrpthy in ulcrtve colitis hand K51.-+,215,324,
M07.55,Arthrpthy in ulcrtve colitis pelv thigh,215,324,
M07.56,Arthrpthy in ulcrtve colitis lower leg,215,324,
M07.57,Arthrpthy in ulcrtve colitis ankle foot,215,324,
M07.58,Arthrpthy in ulcrtve colitis other,215,324,
M07.59,Arthrpthy in ulcrtve colitis site unsp,215,324,
M07.60,Oth enteropathic arthropathies mult site,215,324,
M07.61,Oth enteropathic arthropathies shoulder,215,324,
M07.62,Oth enteropathic arthropathies upper arm,215,324,
M07.63,Oth enteropathic arthropathies forearm,215,324,
M07.64,Oth enteropathic arthropathies hand,215,324,
M07.65,Oth enteropathic arthrpthy pelv rgn thgh,215,324,
M07.66,Oth enteropathic arthropathies lower leg,215,324,
M07.67,Oth enteropathic arthropathy ankle foot,215,324,
M07.68,Oth enteropathic arthropathies other,215,324,
M07.69,Oth enteropathic arthropathies site unsp,215,324,
M08.00,Juvenile rheumatoid arthritis mult sites,0,219,
M08.01,Juvenile rheumatoid arthritis shoulder,0,219,
M08.02,Juvenile rheumatoid arthritis upper arm,0,219,
M08.03,Juvenile rheumatoid arthritis forearm,0,219,
M08.04,Juvenile rheumatoid arthritis hand,0,219,
M08.05,Juvenile rheum arthritis pelv rgn & thgh,0,219,
M08.06,Juvenile rheumatoid arthritis lower leg,0,219,
M08.07,Juvenile rheum arthritis ankle foot,0,219,
M08.08,Juvenile rheumatoid arthritis other,0,219,
M08.09,Juvenile rheumatoid arthritis site unsp,0,219,
M08.10,Juvnle ankylosing spondylitis mult sites,0,219,
M08.11,Juvnle ankylosing spondylitis shoulder,0,219,
M08.12,Juvnle ankylosing spondylitis upper arm,0,219,
M08.13,Juvnle ankylosing spondylitis forearm,0,219,
M08.14,Juvenile ankylosing spondylitis hand,0,219,
M08.15,Juvnle ankylosing spondylitis pelv thigh,0,219,
M08.16,Juvenile ankylosing spondylitis low leg,0,219,
M08.17,Juvnle ankylosing spondylitis ankle foot,0,219,
M08.18,Juvenile ankylosing spondylitis other,0,219,
M08.19,Juvnle ankylosing spondylitis site unsp,0,219,
M08.20,Juvnle arthritis w systc onset mult site,0,219,
M08.21,Juvnle arthritis w systc onset shoulder,0,219,
M08.22,Juvnle arthritis w systc onset upper arm,0,219,
M08.23,Juvenile arthritis w systc onset forearm,0,219,
M08.24,Juvenile arthritis w systemic onset hand,0,219,
M08.25,Juvnle arthr w systc onset pelv rgn thgh,0,219,
M08.26,Juvenile arthritis w systc onset low leg,0,219,
M08.27,Juvnle arthr w systc onset ankle foot,0,219,
M08.28,Juvenile arthritis w systc onset other,0,219,
M08.29,Juvnle arthritis w systc onset site unsp,0,219,
M08.3,Juvenile polyarthritis (seronegative),0,219,
M08.40,Pauciartclr juvnle arthritis mult sites,0,219,
M08.41,Pauciarticular juvnle arthritis shoulder,0,219,
M08.42,Pauciarticular juvnle arthritis upp arm,0,219,
M08.43,Pauciarticular juvnle arthritis forearm,0,219,
M08.44,Pauciarticular juvenile arthritis hand,0,219,
M08.45,Pauciartclr juvnle arthr pelv rgn & thgh,0,219,
M08.46,Pauciarticular juvnle arthritis low leg,0,219,
M08.47,Pauciarticular juvnle arthritis ankle ft,0,219,
M08.48,Pauciarticular juvenile arthritis other,0,219,
M08.49,Pauciartclr juvenile arthritis site unsp,0,219,
M08.80,Other juvenile arthritis multiple sites,0,219,
M08.81,Other juvenile arthritis shoulder,0,219,
M08.82,Other juvenile arthritis upper arm,0,219,
M08.83,Other juvenile arthritis forearm,0,219,
M08.84,Other juvenile arthritis hand,0,219,
M08.85,Other juvenile arthritis pelv rgn & thgh,0,219,
M08.86,Other juvenile arthritis lower leg,0,219,
M08.87,Other juvenile arthritis ankle and foot,0,219,
M08.88,Other juvenile arthritis other,0,219,
M08.89,Other juvenile arthritis site unsp,0,219,
M08.90,Juvenile arthritis unsp multiple sites,0,219,
M08.91,Juvenile arthritis unsp shoulder,0,219,
M08.92,Juvenile arthritis unsp upper arm,0,219,
M08.93,Juvenile arthritis unspecified forearm,0,219,
M08.94,Juvenile arthritis unspecified hand,0,219,
M08.95,Juvenile arthritis unsp pelv rgn & thgh,0,219,
M08.96,Juvenile arthritis unsp lower leg,0,219,
M08.97,Juvenile arthritis unsp ankle foot,0,219,
M08.98,Juvenile arthritis unspecified other,0,219,
M08.99,Juvenile arthritis unsp site unspecified,0,219,
M09.00,Juvnle arthritis in psoriasis mult sites,0,219,
M09.01,Juvnle arthritis in psoriasis shoulder,0,219,
M09.02,Juvnle arthritis in psoriasis upper arm,0,219,
M09.03,Juvnle arthritis in psoriasis forearm,0,219,
M09.04,Juvnle arthritis in psoriasis hand,0,219,
M09.05,Juvnle arthritis in psoriasis pelv thigh,0,219,
M09.06,Juvnle arthritis in psoriasis low leg,0,219,
M09.07,Juvnle arthritis in psoriasis ankle foot,0,219,
M09.08,Juvnle arthritis in psoriasis other,0,219,
M09.09,Juvnle arthritis in psoriasis site unsp,0,219,
M09.10,Juvnle arthr in Crohn's dis mult site,0,219,
M09.11,Juvnle arthritis in Crohn's dis shoulder,0,219,
M09.12,Juvnle arthr in Crohn's dis upper arm,0,219,
M09.13,Juvnle arthritis in Crohn's dis forearm,0,219,
M09.14,Juvnle arthritis in Crohn's dis hand,0,219,
M09.15,Juvnle arthr in Crohn's dis pelv thgh,0,219,
M09.16,Juvnle arthritis in Crohn's dis low leg,0,219,
M09.17,Juvnle arthritis in Crohn's dis ankle ft,0,219,
M09.18,Juvnle arthritis in Crohn's dis other,0,219,
M09.19,Juvnle arthr in Crohn's dis site unsp,0,219,
M09.20,Juvnle arthr in ulcrtve colitis mult sit,0,219,
M09.21,Juvnle arthr in ulcrtve colitis shoulder,0,219,
M09.22,Juvnle arthr ulcrtve colitis upper arm,0,219,
M09.23,Juvnle arthr in ulcrtve colitis forearm,0,219,
M09.24,Juvnle arthritis in ulcrtve colitis hand,0,219,
M09.25,Juvnle arthr ulcrtve colit pelv rgn thgh,0,219,
M09.26,Juvnle arthr in ulcrtve colitis low leg,0,219,
M09.27,Juvnle arthr ulcrtve colitis ankle foot,0,219,
M09.28,Juvnle arthr in ulcrtve colitis other,0,219,
M09.29,Juvnle arthr in ulcrtve colit site unsp,0,219,
M14.0,Gouty arthropathy dt enzyme defect,215,324,
M15.0,Primary generalised (osteo)arthrosis,215,324,
M15.1,Heberden's nodes (with arthropathy),215,324,
M15.2,Bouchard's nodes (with arthropathy),215,324,
M15.3,Secondary multiple arthrosis,215,324,
M15.4,Erosive (osteo)arthrosis,215,324,
M15.8,Other polyarthrosis,215,324,
M30.0,Polyarteritis nodosa,215,324,
M30.2,Juvenile polyarteritis,0,219,
M31.5,Giant cell arteritis w polymyalgia rheum,215,324,
M31.7,Microscopic polyangiitis,215,324,
M33.0,Juvenile dermatomyositis,0,219,
M33.1,Other dermatomyositis,215,324,
M35.3,Polymyalgia rheumatica,215,324,
M41.10,Juvnle idiopath scoliosis mult sit spine,0,219,
M41.11,Juvnle idiopath scoliosis ocpt-atlnt-axl,0,219,
M41.12,Juvnle idiopath scoliosis cervical rgn,0,219,
M41.13,Juvnle idiopath scoliosis cervicothorax,0,219,
M41.14,Juvnle idiopath scoliosis thoracic rgn,0,219,
M41.15,Juvnle idiopath scoliosis thoracolumbar,0,219,
M41.16,Juvenile idiopath scoliosis lumbar rgn,0,219,
M41.17,Juvnle idiopath scoliosis lumbosacral,0,219,
M41.18,Juvnle idiopath sclios sacr sacrcocygl,0,219,
M41.19,Juvenile idiopathic scoliosis site unsp,0,219,
M42.00,Juvnle osteochondr spine mult site spine,0,219,
M42.01,Juvnle osteochondr spine ocpt-atlnt-axl,0,219,
M42.02,Juvnle osteochondr spine cervical rgn,0,219,
M42.03,Juvnle osteochondr spine cervicothoracic,0,219,
M42.04,Juvnle osteochondr spine thoracic rgn,0,219,
M42.05,Juvnle osteochondr spine thoracolumbar,0,219,
M42.06,Juvnle osteochondr spine lumbar region,0,219,
M42.07,Juvnle osteochondr spine lumbosacral,0,219,
M42.08,Juvnle osteochondr spine sacr sacrcocygl,0,219,
M42.09,Juvenile osteochondrosis spine site unsp,0,219,
M42.10,Adult osteochondr spine mult site spine,215,324,
M42.11,Adult osteochondr spine ocpt-atlnt-axl,215,324,
M42.12,Adult osteochondr spine cervical region,215,324,
M42.13,Adult osteochondr spine cervicothoracic,215,324,
M42.14,Adult osteochondr spine thoracic region,215,324,
M42.15,Adult osteochondr spine thoracolumbar,215,324,
M42.16,Adult osteochondr spine lumbar region,215,324,
M42.17,Adult osteochondr spine lumbosacral rgn,215,324,
M42.18,Adlt osteochondr spin sacr & sacrcocygl,215,324,
M42.19,Adult osteochondrosis spine site unsp,215,324,
M45.00,Ankylosing spondylitis mult sites spine,215,324,
M45.01,Ankylosing spondylitis ocpt-atlnt-axl,215,324,
M45.02,"Ankylosing spondylitis, cervical region",215,324,
M45.03,Ankylosing spondylitis cervicothoracic,215,324,
M45.04,Ankylosing spondylitis thoracic region,215,324,
M45.05,Ankylosing spondylitis thoracolumbar,215,324,
M45.06,Ankylosing spondylitis lumbar region,215,324,
M45.07,Ankylosing spondylitis lumbosacral rgn,215,324,
M45.08,Ankylosing spondylitis sacr & sacrcocygl,215,324,
M45.09,Ankylosing spondylitis site unspecified,215,324,
M48.00,Spinal stenosis multiple sites in spine,215,324,
M48.01,Spinal stenosis occipito-atlanto-axial,215,324,
M48.02,Spinal stenosis cervical region,215,324,
M48.03,Spinal stenosis cervicothoracic region,215,324,
M48.04,Spinal stenosis thoracic region,215,324,
M48.05,Spinal stenosis thoracolumbar region,215,324,
M48.06,Spinal stenosis lumbar region,215,324,
M48.07,Spinal stenosis lumbosacral region,215,324,
M48.08,Spinal stenosis sacral & sacrococcygeal,215,324,
M48.09,Spinal stenosis site unspecified,215,324,
M50.1,Cervical disc disorder w radiculopathy,215,324,
M50.2,Other cervical disc displacement,215,324,
M50.3,Other cervical disc degeneration,215,324,
M50.8,Other cervical disc disorders,215,324,
M50.9,Cervical disc disorder unspecified,215,324,
M51.0,Lumbar & oth I/V disc disrd w myelopathy,215,324,
M51.1,Lumbar & oth I/V disc disrd w radiclpth,215,324,
M51.2,Oth spec intervertebral disc displacemnt,215,324,
M51.3,Oth spec intervertebral disc degen,215,324,
M51.4,Schmorl's nodes,215,324,
M51.8,Oth spec intervertebral disc disorders,215,324,
M51.9,Intervertebral disc disorder unsp,215,324,
M72.0,Palmar fascial fibromatosis [Dupuytren],215,324,
M75.0,Adhesive capsulitis of shoulder,215,324,
M75.1,Rotator cuff syndrome,215,324,
M75.3,Calcific tendinitis of shoulder,215,324,
M75.4,Impingement syndrome of shoulder,215,324,
M80.00,Postmenp osteoporosis path fx mult site,230,324,FEML
M80.01,Postmenp osteoporosis w path fx shoulder,230,324,FEML
M80.02,Postmenp osteoporosis w path fx upp arm,230,324,FEML
M80.03,Postmenp osteoporosis w path fx forearm,230,324,FEML
M80.04,Postmenp osteoporosis w path fx hand,230,324,FEML
M80.05,Postmenp osteoporosis path fx pelv thgh,230,324,FEML
M80.06,Postmenp osteoporosis w path fx low leg,230,324,FEML
M80.07,Postmenp osteoporosis w path fx ankle ft,230,324,FEML
M80.08,Postmenp osteoporosis w path fx other,230,324,FEML
M80.09,Postmenp osteopor w path fx site unsp,230,324,FEML
M80.10,Postoophct osteopor w path fx mult site,215,324,FEML
M80.11,Postoophct osteopor path fx shoulder,215,324,FEML
M80.12,Postoophct osteopor w path fx upp arm,215,324,FEML
M80.13,Postoophct osteopor w path fx forearm,215,324,FEML
M80.14,Postoophct osteopor w path fx hand,215,324,FEML
M80.15,Postoophct osteopor path fx pelv thgh,215,324,FEML
M80.16,Postoophct osteopor w path fx low leg,215,324,FEML
M80.17,Postoophct osteopor path fx ankle ft,215,324,FEML
M80.18,Postoophct osteopor w path fx other,215,324,FEML
M80.19,Postoophct osteopor path fx site unsp,215,324,FEML
M80.50,Idiopath osteoporosis path fx mult site,215,324,
M80.51,Idiopath osteoporosis w path fx shoulder,215,324,
M80.52,Idiopath osteoporosis w path fx upp arm,215,324,
M80.53,Idiopath osteoporosis w path fx forearm,215,324,
M80.54,Idiopathic osteoporosis w path fx hand,215,324,
M80.55,Idiopath osteoporosis path fx pelv thgh,215,324,
M80.56,Idiopath osteoporosis w path fx low leg,215,324,
M80.57,Idiopath osteoporosis w path fx ankle ft,215,324,
M80.58,Idiopathic osteoporosis w path fx other,215,324,
M80.59,Idiopath osteopor w path fx site unsp,215,324,
M81.00,Postmenopausal osteoporosis mult sites,230,324,FEML
M81.01,Postmenopausal osteoporosis shoulder,230,324,FEML
M81.02,Postmenopausal osteoporosis upper arm,230,324,FEML
M81.03,Postmenopausal osteoporosis forearm,230,324,FEML
M81.04,Postmenopausal osteoporosis hand,230,324,FEML
M81.05,Postmenopausal osteopor pelv rgn & thgh,230,324,FEML
M81.06,Postmenopausal osteoporosis lower leg,230,324,FEML
M81.07,Postmenopausal osteoporosis ankle foot,230,324,FEML
M81.08,Postmenopausal osteoporosis other,230,324,FEML
M81.09,Postmenopausal osteoporosis site unsp,230,324,FEML
M81.10,Postoophorectomy osteoporosis mult site,215,324,FEML
M81.11,Postoophorectomy osteoporosis shoulder,215,324,FEML
M81.12,Postoophorectomy osteoporosis upper arm,215,324,FEML
M81.13,Postoophorectomy osteoporosis forearm,215,324,FEML
M81.14,Postoophorectomy osteoporosis hand,215,324,FEML
M81.15,Postoophorectomy osteoporosis pelv thgh,215,324,FEML
M81.16,Postoophorectomy osteoporosis lower leg,215,324,FEML
M81.17,Postoophorectomy osteoporosis ankle ft,215,324,FEML
M81.18,Postoophorectomy osteoporosis other,215,324,FEML
M81.19,Postoophorectomy osteoporosis site unsp,215,324,FEML
M81.50,Idiopathic osteoporosis multiple sites,215,324,
M81.51,Idiopathic osteoporosis shoulder region,215,324,
M81.52,Idiopathic osteoporosis upper arm,215,324,
M81.53,Idiopathic osteoporosis forearm,215,324,
M81.54,Idiopathic osteoporosis hand,215,324,
M81.55,Idiopathic osteoporosis pelv rgn & thgh,215,324,
M81.56,Idiopathic osteoporosis lower leg,215,324,
M81.57,Idiopathic osteoporosis ankle and foot,215,324,
M81.58,Idiopathic osteoporosis other,215,324,
M81.59,Idiopathic osteoporosis site unsp,215,324,
M83.00,Puerperal osteomalacia multiple sites,210,260,FEML
M83.01,Puerperal osteomalacia shoulder region,210,260,FEML
M83.02,Puerperal osteomalacia upper arm,210,260,FEML
M83.03,Puerperal osteomalacia forearm,210,260,FEML
M83.04,Puerperal osteomalacia hand,210,260,FEML
M83.05,Puerperal osteomalacia pelv rgn & thgh,210,260,FEML
M83.06,Puerperal osteomalacia lower leg,210,260,FEML
M83.07,Puerperal osteomalacia ankle & foot,210,260,FEML
M83.08,Puerperal osteomalacia other,210,260,FEML
M83.09,Puerperal osteomalacia site unspecified,210,260,FEML
M83.10,Senile osteomalacia multiple sites,230,324,
M83.11,Senile osteomalacia shoulder region,230,324,
M83.12,Senile osteomalacia upper arm,230,324,
M83.13,Senile osteomalacia forearm,230,324,
M83.14,Senile osteomalacia hand,230,324,
M83.15,Senile osteomalacia pelv rgn & thgh,230,324,
M83.16,Senile osteomalacia lower leg,230,324,
M83.17,Senile osteomalacia ankle and foot,230,324,
M83.18,Senile osteomalacia other,230,324,
M83.19,Senile osteomalacia site unspecified,230,324,
M83.20,Adult osteomalacia dt malabs mult sites,215,324,
M83.21,Adult osteomalacia dt malabs shoulder,215,324,
M83.22,Adult osteomalacia dt malabs upper arm,215,324,
M83.23,Adult osteomalacia dt malabs forearm,215,324,
M83.24,Adult osteomalacia dt malabs hand,215,324,
M83.25,Adult osteomalacia dt malabs pelv thgh,215,324,
M83.26,Adult osteomalacia dt malabs lower leg,215,324,
M83.27,Adult osteomalacia dt malabs ankle foot,215,324,
M83.28,Adult osteomalacia dt malabs other,215,324,
M83.29,Adult osteomalacia dt malabs site unsp,215,324,
M83.30,Adult osteomalacia dt maln mult sites,215,324,
M83.31,Adult osteomalacia dt maln shoulder,215,324,
M83.32,Adult osteomalacia dt maln upper arm,215,324,
M83.33,Adult osteomalacia dt maln forearm,215,324,
M83.34,Adult osteomalacia dt malnutrition hand,215,324,
M83.35,Adlt osteomalacia dt maln pelv rgn thgh,215,324,
M83.36,Adult osteomalacia dt maln lower leg,215,324,
M83.37,Adult osteomalacia dt maln ankle & foot,215,324,
M83.38,Adult osteomalacia dt malnutrition other,215,324,
M83.39,Adult osteomalacia dt maln site unsp,215,324,
M83.40,Aluminium bone disease multiple sites,215,324,
M83.41,Aluminium bone disease shoulder region,215,324,
M83.42,Aluminium bone disease upper arm,215,324,
M83.43,Aluminium bone disease forearm,215,324,
M83.44,Aluminium bone disease hand,215,324,
M83.45,Aluminium bone disease pelv rgn & thgh,215,324,
M83.46,Aluminium bone disease lower leg,215,324,
M83.47,Aluminium bone disease ankle and foot,215,324,
M83.48,Aluminium bone disease other,215,324,
M83.49,Aluminium bone disease site unspecified,215,324,
M83.50,Oth drug-ind osteomal in adults mult sit,215,324,
M83.51,Oth drug-ind osteomal in adults shold,215,324,
M83.52,Oth drug-ind osteomal in adults upp arm,215,324,
M83.53,Oth drug-ind osteomal in adults forearm,215,324,
M83.54,Oth drug-ind osteomal in adults hand,215,324,
M83.55,Oth drug-ind osteomal adults pelv thgh,215,324,
M83.56,Oth drug-ind osteomal in adults low leg,215,324,
M83.57,Oth drug-ind osteomal in adults ank & ft,215,324,
M83.58,Oth drug-ind osteomal in adults other,215,324,
M83.59,Oth drug-ind osteomal in adlt site unsp,215,324,
M83.80,Other adult osteomalacia multiple sites,215,324,
M83.81,Other adult osteomalacia shoulder,215,324,
M83.82,Other adult osteomalacia upper arm,215,324,
M83.83,Other adult osteomalacia forearm,215,324,
M83.84,Other adult osteomalacia hand,215,324,
M83.85,Other adult osteomalacia pelv rgn & thgh,215,324,
M83.86,Other adult osteomalacia lower leg,215,324,
M83.87,Other adult osteomalacia ankle and foot,215,324,
M83.88,Other adult osteomalacia other,215,324,
M83.89,Other adult osteomalacia site unsp,215,324,
M83.90,Unsp adult osteomalacia multiple sites,215,324,
M83.91,Unsp adult osteomalacia shoulder region,215,324,
M83.92,Unsp adult osteomalacia upper arm,215,324,
M83.93,Unsp adult osteomalacia forearm,215,324,
M83.94,Unspecified adult osteomalacia hand,215,324,
M83.95,Unsp adult osteomalacia pelv rgn & thgh,215,324,
M83.96,Unsp adult osteomalacia lower leg,215,324,
M83.97,Unsp adult osteomalacia ankle & foot,215,324,
M83.98,Unspecified adult osteomalacia other,215,324,
M83.99,Unsp adult osteomalacia site unspecified,215,324,
M88.0,Paget's disease of skull,215,324,
M88.80,Paget's disease other bones mult sites,215,324,
M88.81,Paget's disease of other bones shoulder,215,324,
M88.82,Paget's disease of other bones upp arm,215,324,
M88.83,Paget's disease of other bones forearm,215,324,
M88.84,Paget's disease of other bones hand,215,324,
M88.85,Paget's disease other bones pelv thigh,215,324,
M88.86,Paget's disease of other bones low leg,215,324,
M88.87,Paget's disease of other bones ankle ft,215,324,
M88.88,Paget's disease of other bones other,215,324,
M89.10,Epiphyseal arrest multiple sites,0,219,
M89.11,Epiphyseal arrest shoulder region,0,219,
M89.12,Epiphyseal arrest upper arm,0,219,
M89.13,Epiphyseal arrest forearm,0,219,
M89.14,Epiphyseal arrest hand,0,219,
M89.15,Epiphyseal arrest pelv rgn & thgh,0,219,
M89.16,Epiphyseal arrest lower leg,0,219,
M89.17,Epiphyseal arrest ankle and foot,0,219,
M89.18,Epiphyseal arrest other,0,219,
M89.19,Epiphyseal arrest site unspecified,0,219,
M89.20,Oth disrd bone devt & growth mult sites,0,219,
M89.21,Oth disrd bone devt & growth shoulder,0,219,
M89.22,Oth disrd bone devt & growth upper arm,0,219,
M89.23,Oth disrd bone devt & growth forearm,0,219,
M89.24,Oth disrd bone devt & growth hand,0,219,
M89.25,Oth disrd bne devt growth pelv rgn thgh,0,219,
M89.26,Oth disrd bone devt & growth low leg,0,219,
M89.27,Oth disrd bone devt & growth ankle foot,0,219,
M89.28,Oth disrd bone devt & growth other,0,219,
M89.29,Oth disrd bone devt & growth site unsp,0,219,
M91.0,Juvenile osteochondrosis of pelvis,0,219,
M91.1,Juvenile osteochondrosis head of femur,0,219,
M91.2,Coxa plana,0,219,
M91.3,Pseudocoxalgia,0,219,
M91.8,Other juvnle osteochondrosis hip pelvis,0,219,
M91.9,Juvnle osteochondrosis hip & pelvis unsp,0,219,
M92.0,Juvenile osteochondrosis of humerus,0,219,
M92.1,Juvenile osteochondrosis radius & ulna,0,219,
M92.2,Juvenile osteochondrosis of hand,0,219,
M92.3,Oth juvenile osteochondrosis upper limb,0,219,
M92.4,Juvenile osteochondrosis of patella,0,219,
M92.5,Juvenile osteochondrosis tibia & fibula,0,219,
M92.6,Juvenile osteochondrosis of tarsus,0,219,
M92.7,Juvenile osteochondrosis of metatarsus,0,219,
M92.8,Other specified juvenile osteochondrosis,0,219,
M92.9,Juvenile osteochondrosis unspecified,0,219,
M93.1,Kienbock's disease of adults,215,324,
M96.1,Postlaminectomy syndrome NEC,215,324,
M96.3,Postlaminectomy kyphosis,215,324,
N01.0,Rapid progress neph synd minor glom abn,201,324,
N01.1,Progress neph synd focl seg glom lesion,201,324,
N01.2,Progress neph synd dfs memb glomneph,201,324,
N01.3,Neph synd dfs mesangial prolf glomneph,201,324,
N01.4,Neph synd dfs endcap prolf glomneph,201,324,
N01.5,Neph synd diffuse mesngcp glomneph,201,324,
N01.6,Progressive neph synd dense deposit dis,201,324,
N01.7,Neph synd diffuse crescentic glomneph,201,324,
N01.8,Rapid progress nephritic syndrome other,201,324,
N01.9,Rapidly progress nephritic syndrome unsp,201,324,
